coefficient_id,matlab_name,symbol,description,value,units,model_term_or_normalization,provenance_class,source_id,source_location,source_configuration,status,sign_convention_review,used_in_nominal_model,notes
AERO-001,CL0,C_L0,Zero-reference lift coefficient in the literature research model,0.0,dimensionless,constant term,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,Zero reference value may reflect source-model formulation rather than physical zero-lift condition.
AERO-002,CL_alpha,C_L_alpha,Lift coefficient derivative with respect to angle of attack,5.582,1/rad,alpha [rad],LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,
AERO-003,Cm_alpha,C_m_alpha,Pitching-moment coefficient derivative with respect to angle of attack,-2.855,1/rad,alpha [rad],LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,Negative value is consistent with static pitch stability under common conventions; source convention still requires formal review.
AERO-004,Cm0,C_m0,Zero-reference pitching-moment coefficient in the literature model,0.0,dimensionless,constant term,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,Interpret in the context of the source model reference condition.
AERO-005,CL_delta_e,C_L_delta_e,Lift coefficient derivative with respect to equivalent elevator deflection,1.019,1/rad,delta_e [rad],LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,REQUIRED_BEFORE_USE,YES_WHEN_BASELINED,Project defines positive delta_e as trailing-edge down; source convention must be reconciled before use.
AERO-006,Cm_delta_e,C_m_delta_e,Pitching-moment coefficient derivative with respect to equivalent elevator deflection,-4.453,1/rad,delta_e [rad],LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,REQUIRED_BEFORE_USE,YES_WHEN_BASELINED,Do not infer controller feedback sign until elevator-deflection convention is formally reconciled.
AERO-007,CD0,C_D0,Zero-lift/reference parasite drag coefficient in the literature model,0.018,dimensionless,constant term,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,NOT_APPLICABLE,YES_WHEN_BASELINED,
AERO-008,CL_q,C_L_q,Lift coefficient pitch-rate derivative,8.892,dimensionless,q*c_bar/(2V),LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,Dimensionless derivative assumes the stated normalized pitch-rate term; confirm source normalization.
AERO-009,Cm_q,C_m_q,Pitching-moment coefficient pitch-rate derivative,-38.863,dimensionless,q*c_bar/(2V),LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,YES_WHEN_BASELINED,Negative value is consistent with pitch-rate damping under common conventions; source normalization must still be confirmed.
AERO-010,induced_drag_K,K,Quadratic lift-dependent drag factor,0.0454,dimensionless,C_D = C_D0 + K*C_L^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,NOT_APPLICABLE,YES_WHEN_BASELINED,Use only if the source drag-polar formulation is adopted.
AERO-011,CL_alpha_dot,C_L_alpha_dot,Lift coefficient derivative associated with angle-of-attack rate,2.625,dimensionless,alpha_dot*c_bar/(2V) - TO VERIFY,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,OPTIONAL_AFTER_REVIEW,Normalization must be verified from the source equations before implementation.
AERO-012,Cm_alpha_dot,C_m_alpha_dot,Pitching-moment coefficient derivative associated with angle-of-attack rate,-11.47,dimensionless,alpha_dot*c_bar/(2V) - TO VERIFY,LITERATURE,SRC-LIT-UPV-001,Table 5.4.3,A320-200 research aerodynamic model,PROPOSED,PENDING,OPTIONAL_AFTER_REVIEW,Normalization must be verified from the source equations before implementation.
