parameter_id,matlab_name,symbol,description,value_numeric,value_text,units,provenance_class,source_id,source_location,configuration_or_condition,status,used_in_nominal_model,uncertainty_or_range,notes
GEO-001,aircraft_length_m,L,Overall aircraft length,37.57,,m,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Dimensions,A320ceo / A320-200 geometry,BASELINED,REFERENCE_ONLY,,Geometry reference; not directly required by the initial 4-state longitudinal equations.
GEO-002,wing_span_m,b,Geometric wingspan,34.1,,m,OEM-PUBLIC,SRC-OEM-AC-2025,"2-2-0, General Aircraft Dimensions, Wing Tip Fence",A320-200 with wing-tip fences,BASELINED,REFERENCE_ONLY,,Do not substitute the 35.80 m Sharklet span without changing the configuration baseline.
GEO-003,fuselage_width_m,,Fuselage width,3.95,,m,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Dimensions,A320ceo,BASELINED,REFERENCE_ONLY,,
GEO-004,wheelbase_m,,Wheelbase,12.64,,m,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Dimensions,A320ceo,BASELINED,NO,,Ground-geometry reference only.
GEO-005,main_gear_track_m,,Main landing-gear track,7.59,,m,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Dimensions,A320ceo,BASELINED,NO,,Ground-geometry reference only.
GEO-006,wing_area_m2,S,Wing reference area used by the research aerodynamic model,122.4,,m^2,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,YES_WHEN_BASELINED,,Literature value; not labeled as Airbus OEM data.
GEO-007,mean_aero_chord_m,c_bar,Reference/mean aerodynamic chord used by the research model,3.945,,m,LITERATURE,SRC-LIT-UPV-001,Table 5.4.1,A320-200 research model,PROPOSED,YES_WHEN_BASELINED,,Source labels this quantity cw. Confirm exact reference-chord definition before baseline.
MASS-REF-001,max_ramp_weight_kg,,Published maximum ramp weight,78400,,kg,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Maximum weights,A320ceo,BASELINED,NO,,Reference limit only; not the nominal simulation mass.
MASS-REF-002,mtow_kg,,Published maximum takeoff weight,78000,,kg,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Maximum weights,A320ceo,BASELINED,NO,,Reference maximum; never substitute for analysis mass unless that exact weight condition is modeled.
MASS-REF-003,max_landing_weight_kg,,Published maximum landing weight,66000,,kg,OEM-PUBLIC,SRC-OEM-WEB-A320CEO,Maximum weights,A320ceo,BASELINED,NO,,Reference limit only.
